objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
538,538,El Paradero,Cl 68 SUR 44 05,Sabaneta,Sabaneta,En servicio,-75.61459914,6.15205867
539,539,El Parque,CL 37 SUR 42 74 ,Envigado,Envigado,En servicio,-75.58732813,6.17048595
540,540,El Salado,CL 40 SUR 24E10,Envigado,Envigado,En servicio,-75.57771432,6.15082558
541,541,El Seguro,DG 33 34 D SUR 36,Envigado,Envigado,En servicio,-75.58328554,6.17062407
542,542,El Trapiche,Cr 45 77 SUR 20,Sabaneta,Sabaneta,En servicio,-75.62041645,6.1470734
543,543,El Trianon,CR 40 48 B SUR 2,Envigado,Envigado,En servicio,-75.59569341,6.15811272
544,544,Enrredadera,Cr 44 70 SUR 20,Sabaneta,Sabaneta,En servicio,-75.615574,6.15100068
545,545,Entreamigos,Cr 46 SUR 72 08,Sabaneta,Sabaneta,En servicio,-75.61734617,6.15192064
546,546,Envigado Parque,CL 38 SUR 42 23,Envigado,Envigado,En servicio,-75.58761129,6.16958931
547,547,Envigado Parque (2),CL 38 SUR 42 23,Envigado,Envigado,En servicio,-75.58761129,6.16958931
548,548,Esquina Del Guaro,CR 43 36 SUR 81,Envigado,Envigado,En servicio,-75.58750237,6.17087781
549,549,Estacion La Estrella,CR 49 77 SUR 90,Sabaneta,Sabaneta,En servicio,-75.625895,6.152486
550,550,Estacion Metro,CR 50 37 SUR 120 ( ENV2 10),Envigado,Envigado,En servicio,-75.59576779,6.17433378
551,551,Estacion Metro (2),CR 50 37 SUR 120 ( ENV2 10),Envigado,Envigado,En servicio,-75.59576779,6.17433378
552,552,Euro Mercados Frontera,CR 43 21 SUR 06,Envigado,Envigado,En servicio,-75.57932634,6.18306905
553,553,Gana Servicios Envigado (2),Cr 43 36 SUR 06,Envigado,Envigado,En servicio,-75.58714502,6.17119824
554,554,Gana Servicios Envigado (3),Cr 43 36 SUR 06,Envigado,Envigado,En servicio,-75.58714502,6.17119824
555,555,Gana Servicios Envigado (4),Cr 43 36 SUR 06,Envigado,Envigado,En servicio,-75.58714502,6.17119824
556,556,Gana Servicios Envigado Rosellon (2),CL 40 S 28 B 58         ,Envigado,Envigado,En servicio,-75.58159523,6.16080091
557,557,Gana Servicios Sabaneta (2),CR 45 71 SUR 14,Sabaneta,Sabaneta,En servicio,-75.61625659,6.15089564
